Widht,Length,Diameter,Perimeter,Area,AspectRatio,FormFactor,Rectangularity,Narrow Factor,RatioOfDiameter,RatioPLPW,Solidity,Convexity,Class
275,603,346.937602980044,1649.21441376209,94535,2.19272727272727,0.436765422320265,1.75411223356429,0.575352575422959,4.75363408173705,1.87837632546935,0.720178873432572,0.895860568828275,1
281,543,320.294754621343,1521.49868679047,80573,1.93238434163701,0.437377295164072,1.89372370397031,0.589861426558643,4.75030784874765,1.84647898882338,0.700640875138044,0.89453959253761,1
234,636,315.554013151134,1631.34940826893,78205.5,2.71794871794872,0.369277784442719,1.90298636285172,0.496154108728197,5.16979452100202,1.87511426237808,0.723582313265051,0.907523459460137,1
227,618,311.096203214756,1561.18288910389,76011.5,2.72246696035242,0.391905719449352,1.84558915427271,0.503391914586984,5.01832832728651,1.84755371491585,0.730293466303497,0.925377303642657,1
284,577,340.535036751564,1615.29767405987,91078,2.03169014084507,0.438650080994495,1.799205076967,0.590182039430787,4.74341110233042,1.87607163073155,0.713064923372022,0.893772339558739,1
262,539,316.298588722058,1505.61643445492,78575,2.05725190839695,0.435577622893051,1.79723830734967,0.586824839929606,4.76011113593034,1.87967095437568,0.691906694962268,0.900739861462776,1
218,630,315.995529519142,1587.34940874577,78424.5,2.88990825688073,0.391125880115753,1.75123845226938,0.501580205585939,5.02332868810288,1.87187430276623,0.753777320697411,0.918333969069728,1
220,636,321.67812238385,1585.526034832,81270.5,2.89090909090909,0.406252494186571,1.72165792015553,0.505783211295361,4.92892094458334,1.85225004069159,0.764344898285477,0.926120023147412,1
295,561,334.037399287323,1612.71189129353,87635.5,1.90169491525424,0.423424863728112,1.88844703345106,0.595432084291128,4.82793811331991,1.88400921880085,0.69662559618442,0.878517515068322,1
273,552,326.045936470309,1552.28548419476,83492.5,2.02197802197802,0.435425778157969,1.80490463215259,0.59066292838824,4.7609410532743,1.88155816266031,0.693905961062977,0.890272289831338,1
281,575,334.241261297771,1580.14334583283,87742.5,2.04626334519573,0.441597793924551,1.84146793173206,0.581289150083081,4.72755320422602,1.84596185260844,0.72535144318008,0.900102905742291,1
255,562,325.386284809997,1550.30272734165,83155,2.20392156862745,0.434775646750336,1.7234080933197,0.578979154466187,4.76449930348761,1.89755535782332,0.703826588910425,0.902833378651362,1
299,588,342.569485241268,1655.45705389977,92169.5,1.96655518394649,0.422630911200897,1.90748566499764,0.582601165376307,4.83247085692365,1.86635519041687,0.696952282291025,0.888754991975852,1
263,546,324.057059684127,1487.95957875252,82477,2.07604562737643,0.468123509886038,1.74106720661518,0.593511098322577,4.59165919792921,1.83925782293266,0.743387638297393,0.906005621120434,1
265,559,334.26697337275,1551.41542255878,87756,2.10943396226415,0.458174035851409,1.68803272710698,0.597973118734795,4.64124650696124,1.88278570698882,0.734326035203401,0.898517133323164,1
257,510,303.201382300181,1418.94738972187,72202.5,1.98443579766537,0.450639765641208,1.81531110418614,0.594512514314081,4.67988430315617,1.84999659676906,0.709948771398511,0.901043462010433,1
253,570,327.294153044633,1542.16059219837,84133,2.25296442687747,0.444546337902105,1.71407176732079,0.574200268499356,4.71184889144069,1.87382818007093,0.724167018135808,0.904250483368328,1
260,572,320.184423486236,1517.03065156937,80517.5,2.2,0.439654410657803,1.847051883131,0.559762978122791,4.73799017157554,1.82335414852087,0.728292773378318,0.909487077991241,1
