lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,Class
11949,5503,9201,3176,9041,3568,7331,6131,7913,10085,9833,14932,1
12571,5723,9286,2889,8379,3186,6294,5193,6479,8152,7826,12279,1
12708,6266,9260,3391,8244,3626,6550,5404,6806,8372,8321,12514,1
12902,6384,9400,3646,8508,3990,6872,5750,6881,8577,8093,11831,1
12541,5804,9180,3128,8294,3325,6347,5111,6646,8350,8320,12405,1
12075,5579,9391,3084,9010,3481,7189,5778,7177,9277,9102,14570,1
12277,5828,9664,3331,9121,3768,7464,6168,7899,9663,9453,14284,1
12148,5679,9249,3265,9150,3609,7358,5919,7535,9211,8778,13443,1
13007,6392,9262,3432,8141,3640,6241,5434,6637,8221,8190,12132,1
12314,5904,9536,3199,8749,3401,6536,5139,6634,8397,8123,12410,1
12379,6154,9640,3600,9186,4128,7533,6278,7818,9693,9188,14017,1
12302,5489,9405,3062,8750,3385,6915,5537,7064,9224,9302,13851,1
12904,6583,9358,3679,7900,3757,5968,5306,6364,7875,8025,11243,1
13177,6594,9554,3881,8041,3900,6170,5412,6398,8085,7981,11237,1
13352,6399,9097,3448,8035,3659,6143,5184,6383,8002,7991,11719,1
12473,5813,9006,3099,8297,3449,6633,5215,6598,8166,8091,12028,1
12659,5569,9111,3034,8227,3310,6441,5158,6530,8164,8214,12341,1
12948,6065,9105,3274,8019,3490,6107,5345,6368,8048,7765,11482,1
12699,5893,9058,3150,8292,3314,6340,5177,6380,7706,7608,11381,1
12175,5578,9277,2813,8446,3187,6559,5434,6963,8794,9156,13617,1
12704,6054,9131,3247,8436,3487,6544,5141,6298,7561,7143,11429,1
12393,6241,9695,3709,9127,4063,7496,6149,7622,9528,8876,13883,1
11621,5291,9496,2748,9258,3376,7528,5602,7851,9186,8811,14470,1
13303,6265,9241,3493,7978,3488,5964,4913,5809,7361,7119,10936,1
11650,5176,9063,2773,8990,3163,7126,5506,7367,8941,8545,13729,1
11824,5426,9291,2996,8666,3392,7016,5543,7360,8877,8862,13278,1
