Date,Unit Name,Longitude,Latitude,Fuel Type,Time,MW,MVAR
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,5:30,317,26
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,6:00,322,23
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,6:30,322,38
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,7:00,323,35
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,7:30,324,110
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,8:00,326,102
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,8:30,322,125
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,9:00,323,138
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,9:30,326,138
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,10:00,325,136
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,10:30,324,136
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,11:00,322,102
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,11:30,324,93
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,12:00,318,96
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,12:30,322,133
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,13:00,327,139
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,13:30,324,138
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,14:00,324,119
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,14:30,325,99
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,15:00,322,103
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,15:30,322,97
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,16:00,322,110
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,16:30,321,109
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,17:00,314,104
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,17:30,319,74
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,18:00,318,51
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,18:30,322,49
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,19:00,322,49
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,19:30,318,52
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,20:00,321,47
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,20:30,323,47
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,21:00,325,51
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,21:30,319,44
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,22:00,324,41
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,22:30,325,48
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,23:00,325,43
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,23:30,325,35
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,0:00,330,27
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,0:30,326,28
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,1:00,325,30
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,1:30,320,27
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,2:00,323,29
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,2:30,327,27
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,3:00,324,29
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,3:30,322,29
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,4:00,317,28
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,4:30,324,27
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,5:00,323,28
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,5:30,330,28
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,6:00,327,58
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,6:30,321,98
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,7:00,323,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,7:30,324,94
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,8:00,323,95
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,8:30,324,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,9:00,324,98
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,9:30,324,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,10:00,322,95
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,10:30,323,95
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,11:00,325,97
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,11:30,321,97
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,12:00,318,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,12:30,323,97
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,13:00,322,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,13:30,329,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,14:00,325,96
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,14:30,321,95
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,15:00,326,97
7/3/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,15:30,324,96
